Job Title,Company,Loaction,PostDate,CurrentDate,Summary,Salary,Joburl
Developer I - Software Engineering,UST Global,"Thiruvananthapuram, Kerala",7 days ago,"June 16, 2021",Develop user interfaces business software components and embedded software components. Interpret the applications features and component design developing the same in accordance with user stories/…,,https://in.indeed.com/rc/clk?jk=7e2c8f59c1c030dc&fccid=810178099fb1fcbc&vjs=3
Software Engineer 1,IQVIA,"Kochi, Kerala",Today,"June 16, 2021","Assists other team members in the business application, development technologies or Software Development Lifecycle processes (such as reviewing, designing and testing).",,https://in.indeed.com/rc/clk?jk=ba1b75035c8e1d90&fccid=6b7a1dfe07e7f037&vjs=3
Software Developer,IBM,"Kochi, Kerala",28 days ago,"June 16, 2021","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on…",,https://in.indeed.com/rc/clk?jk=a9c4d011a5de5d84&fccid=de71a49b535e21cb&vjs=3
"Software Developer, QA",Nielsen,"Kochi, Kerala",1 day ago,"June 16, 2021","3 - 4 years of experience. Coordinate with various stakeholders - technology teams, product owners & developers. Define and track quality assurance metrics. Develop and execute formal test plans.",,https://in.indeed.com/rc/clk?jk=cba87f004929e009&fccid=683f563b5cc25b70&vjs=3
Applications Developer 2,Oracle,"Thiruvananthapuram, Kerala",Just posted,"June 16, 2021","Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications. As a member of the software engineering division, you will perform detailed design based on…",,https://in.indeed.com/rc/clk?jk=71555bccd27f6819&fccid=cd22d01053af7669&vjs=3
Web Developer,IBM,"Kochi, Kerala",5 days ago,"June 16, 2021","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on…",,https://in.indeed.com/rc/clk?jk=38d686f92369e6a8&fccid=de71a49b535e21cb&vjs=3
Software Engineer (REACT Developer),Baker Hughes,"Kochi, Kerala",Just posted,"June 16, 2021",Be an expert or high-level user experienced in software applications. Writing codes that meets standards and delivers desired functionality using the technology selected for the project.,,https://in.indeed.com/rc/clk?jk=869babdafbc8700b&fccid=f4c6ba597fc7aa75&vjs=3
Front - End Developer - Full Time,Syntrio Technologies,"Thiruvananthapuram, Kerala",7 days ago,"June 16, 2021","To design/re-design Web sites and ensure that they are visually effective and easy to navigate. Experience Level 3-5 Years. Making presentations, newsletters and other documents.",,https://in.indeed.com/rc/clk?jk=50e938782ace02c5&fccid=deb2aab11cc7f495&vjs=3
Perl/Python Full Stack Developer,White Rabbit Group,"Kochi, Kerala",Today,"June 16, 2021","We are seeking an experienced Full Stack developer (PHP, Perl/Python) who will be responsible for everything ranging from frontend to backend including designing, developing, testing and deployment.",,https://in.indeed.com/rc/clk?jk=acb27143dfe6a4cf&fccid=7947517281a81ab4&vjs=3
Front End Developer,IBM,"Kochi, Kerala",5 days ago,"June 16, 2021","Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on…",,https://in.indeed.com/rc/clk?jk=c208460bfa9708f6&fccid=de71a49b535e21cb&vjs=3
Associate Developer - Software Engineering,UST Global,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Develop user interfaces business software components and embedded software components. Interpret the applications features and component design developing the same in accordance with user stories/…,,https://in.indeed.com/rc/clk?jk=6f43b7a06f20535c&fccid=810178099fb1fcbc&vjs=3
Software Engineer (C# Desktop),QuEST Global Engineering,"Thiruvananthapuram, Kerala",1 day ago,"June 16, 2021",2-5 years of experience in design and development of Windows desktop applications using C#.NET. This role is of software engineer (C# Desktop) and hence candidate should have solid expertise in…,,https://in.indeed.com/rc/clk?jk=5647baebd69bd3e1&fccid=ad3813e46e9342cd&vjs=3
